city,location
604,Point(113.258976 23.128795)
605,Point(38.969444444 36.761388888)
606,Point(87.266666666 26.816666666)
607,Point(-61.951666666 -10.885277777)
608,Point(50.99155 35.83266)
609,Point(127.4425 37.279166666)
610,Point(20.783333333 48.1)
611,Point(135.783333333 34.683333333)
612,Point(10.990277777 49.478333333)
613,Point(114.054 22.535)
614,Point(57.066666666 30.283333333)
615,Point(-46.827777777 -23.210833333)
616,Point(34.251944444 31.288611111)
617,Point(27.48 -29.31)
618,Point(51.366666666 32.634166666)
619,Point(59.602222222 42.464722222)
620,Point(35.098611111 31.535)
621,Point(172.966666666 1.4)
622,Point(125.2 43.9)
623,Point(-105.0874842 39.8027644)
624,Point(97.17767 31.13749)
625,Point(-112.367797222 33.629194444)
626,Point(112.737777777 -7.245833333)
627,Point(58.358333 29.108333)
628,Point(26.370833333 46.9275)
629,Point(96.084444444 21.983055555)
630,Point(-97.336111111 37.688888888)
631,Point(-117.325833333 33.211666666)
632,Point(4.704444 50.8775)
633,Point(7.21897 51.54258)
634,Point(5.064166666 36.751111111)
635,Point(119.45508 32.21086)
636,Point(130.470277777 33.532777777)
637,Point(102.259166666 -3.795555555)
638,Point(132.74497032 -5.63845051)
639,Point(127.366666666 0.783333333)
640,Point(-43.850833333 -19.77)
641,Point(28.333333333 -25.666666666)
642,Point(113.82745 30.65201)
643,Point(110.416666666 -6.966666666)
644,Point(-104.620277777 38.266944444)
645,Point(-46.772777777 -1.062777777)
646,Point(139.593333333 35.9775)
647,Point(-44.10417 -22.52306)
648,Point(135.166666666 34.233333333)
649,Point(126.783055555 37.498888888)
650,Point(121.266462 30.169699)
651,Point(135.470555555 34.826944444)
652,Point(35.366666666 52.333333333)
653,Point(-62.266666666 -38.716666666)
654,Point(34.75 -0.1)
655,Point(58.616666666 51.2)
656,Point(7.187211111 51.180188888)
657,Point(44.951944444 38.550277777)
658,Point(-46.622777777 -23.685833333)
659,Point(-51.130833333 -29.677777777)
660,Point(131.25 -0.866666666)
661,Point(122.98945 41.10662)
662,Point(32.576388888 -25.915277777)
663,Point(-118.154166666 34.686944444)
664,Point(34.366666666 53.25)
665,Point(8.246944444 46.896944444)
666,Point(63.62463 53.21435)
667,Point(123.83654 42.28407)
668,Point(-86.35 13.083333333)
669,Point(-71.2394 -34.9854)
670,Point(34.983333333 48.45)
671,Point(126.916666666 36.35)
672,Point(119.413611111 -5.133055555)
673,Point(25.733333333 62.233333333)
674,Point(-10.804722222 6.310555555)
675,Point(138.6 -34.9275)
676,Point(23.316666666 55.928055555)
677,Point(19.0 50.25)
678,Point(76.791111111 30.735277777)
679,Point(-54.622222222 -20.468611111)
680,Point(34.789444444 31.971111111)
681,Point(139.805555555 35.825555555)
682,Point(78.02 27.18)
683,Point(74.85 32.733333333)
